term,tf,df,doc_frac,idf,jargon_score
the,133255,9764,0.9764,1.023880523665737,12.081818202002438
is,61400,9407,0.9407,1.061124696838108,11.69909227134729
of,61288,9590,0.959,1.0418599292485649,11.484792548500423
and,55936,9526,0.9526,1.0485552152697366,11.462786043544867
are,32747,9051,0.9051,1.099699360223088,11.43313125689199
normal,29856,8349,0.8349,1.1804235491316148,12.163290348888255
in,25337,7350,0.735,1.3078487296024284,13.261665274617005
with,25072,7975,0.7975,1.2262480553348418,12.4213371249251
to,23944,7412,0.7412,1.2994498723197963,13.10302203599747
no,20102,8320,0.832,1.1839026480760861,11.730846590940764
there,19012,7342,0.7342,1.3089376095249055,12.896802883480735
left,16427,6107,0.6107,1.493085700637993,14.492998389312087
right,15664,5887,0.5887,1.529768706567804,14.776317725314414
nsa,14589,1514,0.1514,2.8872696490330467,27.68340598869899
or,13167,6541,0.6541,1.4244421588781868,13.511610088135704
cm,13031,2574,0.2574,2.3568355538786796,22.33140139138545
small,12979,5704,0.5704,1.5613421046803402,14.787728679664307
mild,12451,5399,0.5399,1.6162861344241501,15.240990778622287
pulmonary,11924,4102,0.4102,1.8909666745343299,17.749355063200735
on,11284,5370,0.537,1.6216709770710567,15.132184367443152
soft,9180,4579,0.4579,1.7809860898682854,16.251304673024535
lateral,9173,4961,0.4961,1.7008762027247697,15.51901333417342
bladder,8698,4394,0.4394,1.8222175568572387,16.52926868401449
tissue,8545,4425,0.4425,1.8151888463655212,16.433301455842145
size,7942,3481,0.3481,2.0550782466483817,18.454697839207675
at,7839,4055,0.4055,1.9024878217054968,17.059597097942703
urinary,7703,4374,0.4374,1.8267785681848012,16.348745577091574
mildly,7587,3984,0.3984,1.9201477757522005,17.15522107197607
wall,7362,2348,0.2348,2.448695382317603,21.803729100122183
for,7272,4792,0.4792,1.7355285678168848,15.432188368098794
liver,7215,4668,0.4668,1.7617401720055792,15.651398454321368
within,7123,4142,0.4142,1.8812649248991142,16.68912376442831
evidence,7063,4590,0.459,1.7785872227272939,15.763203685838363
gas,6897,3359,0.3359,2.090744114019266,18.480059612397433
cranial,6837,3702,0.3702,1.9935417860629034,17.60347349309798
caudal,6704,3758,0.3758,1.978532123412338,17.432072529142964
likely,6640,3978,0.3978,1.9216545565495875,16.91251602209769
identified,6591,4192,0.4192,1.8692686198057533,16.437623100166956
images,6366,4397,0.4397,1.8215351958618098,15.95461489961062
present,6331,3613,0.3613,2.017869895824342,17.663164677406865
noted,6268,3335,0.3335,2.0979126034978783,18.342830591271763
this,6138,3492,0.3492,2.051924122169684,17.897738136121415
be,6052,3561,0.3561,2.0323629031269093,17.698444761925483
spleen,5806,4072,0.4072,1.8983052593281033,16.452268782932418
abdomen,5721,3965,0.3965,1.9249270578967748,16.654610721248346
thorax,5657,4043,0.4043,1.905450786836154,16.464668227798622
material,5581,2706,0.2706,2.3068440773622148,19.90184147757071
stomach,5571,4504,0.4504,1.7974971969340778,15.504328851610927
moderate,5558,3270,0.327,2.1175893394381324,18.260340307390717
fluid,5543,2951,0.2951,2.2202021812561528,19.139189718495583
abnormalities,5375,4299,0.4299,1.8440700652948623,15.84000842263733
abdominal,5200,3592,0.3592,2.023697579862997,17.315983246179297
space,4990,4165,0.4165,1.8757287451555986,15.972564743109793
adrenal,4950,2409,0.2409,2.4230583404918153,20.61379290722363
pleural,4895,4018,0.4018,1.9116519725273151,16.241727449951888
mass,4774,1881,0.1881,2.6703500468311914,22.62093380423513
lymph,4743,2916,0.2916,2.2321293971087948,18.89416271901004
study,4595,3095,0.3095,2.1725741322668983,18.3211908637397
disease,4577,3230,0.323,2.129893401152018,17.952908752536473
colon,4503,3518,0.3518,2.044508229654931,17.19987766548828
structures,4451,3172,0.3172,2.1480075753933203,18.04564515592822
contains,4418,2477,0.2477,2.3952333047874284,20.104794831881115
findings,4303,3936,0.3936,1.9322660760327786,16.167850134774174
hyperechoic,4286,1703,0.1703,2.7697066595872553,23.16400532614532
aspect,4233,2351,0.2351,2.4474190579579984,20.438157811426052
an,4185,2998,0.2998,2.204406188227507,18.383647397315187
thoracic,4122,2818,0.2818,2.2663028758624035,18.865467370459545
amount,4110,2281,0.2281,2.477632836554495,20.617427370511596
view,4104,2533,0.2533,2.372886006095432,19.742319080093996
lung,4036,1708,0.1708,2.7667766838609253,22.973258202078114
views,3999,2603,0.2603,2.3456363636480564,19.454824437725392
